investor,organization,Api Url,Description,Rank
Tuesday Capital,gameanalytics,https://api.crunchbase.com/v3.1/organizations/gameanalytics,,10152
Tuesday Capital,dots,https://api.crunchbase.com/v3.1/organizations/dots,,57109
Tuesday Capital,dstld,https://api.crunchbase.com/v3.1/organizations/dstld,,10566
Tuesday Capital,zen99,https://api.crunchbase.com/v3.1/organizations/zen99,,25675
Tuesday Capital,chosen-fm,https://api.crunchbase.com/v3.1/organizations/chosen-fm,,35556
Tuesday Capital,avegant,https://api.crunchbase.com/v3.1/organizations/avegant,,8379
Tuesday Capital,carelulu,https://api.crunchbase.com/v3.1/organizations/carelulu,,31471
Tuesday Capital,weaved,https://api.crunchbase.com/v3.1/organizations/weaved,,14141
Tuesday Capital,ubeam,https://api.crunchbase.com/v3.1/organizations/ubeam,,6718
Tuesday Capital,abacus-labs,https://api.crunchbase.com/v3.1/organizations/abacus-labs,,7563
Tuesday Capital,complex-polygon,https://api.crunchbase.com/v3.1/organizations/complex-polygon,,27718
Tuesday Capital,product-hunt,https://api.crunchbase.com/v3.1/organizations/product-hunt,,2791
Tuesday Capital,bloomnation,https://api.crunchbase.com/v3.1/organizations/bloomnation,,7731
Tuesday Capital,olio-devices,https://api.crunchbase.com/v3.1/organizations/olio-devices,,24475
Tuesday Capital,silvercar,https://api.crunchbase.com/v3.1/organizations/silvercar,,6572
Tuesday Capital,kinnek,https://api.crunchbase.com/v3.1/organizations/kinnek,,6536
Tuesday Capital,authy-inc,https://api.crunchbase.com/v3.1/organizations/authy-inc,,13244
Tuesday Capital,feed-media,https://api.crunchbase.com/v3.1/organizations/feed-media,,32864
Tuesday Capital,doppler-labs,https://api.crunchbase.com/v3.1/organizations/doppler-labs,,39825
Tuesday Capital,quettra,https://api.crunchbase.com/v3.1/organizations/quettra,,30314
Tuesday Capital,vurb,https://api.crunchbase.com/v3.1/organizations/vurb,,13940
Tuesday Capital,prediction-io,https://api.crunchbase.com/v3.1/organizations/prediction-io,,21525
Tuesday Capital,rocketrip,https://api.crunchbase.com/v3.1/organizations/rocketrip,,2425
Tuesday Capital,opendoor-2,https://api.crunchbase.com/v3.1/organizations/opendoor-2,,2931
Tuesday Capital,light,https://api.crunchbase.com/v3.1/organizations/light,,3216
Tuesday Capital,aboutme,https://api.crunchbase.com/v3.1/organizations/aboutme,,49264
Tuesday Capital,babywatch,https://api.crunchbase.com/v3.1/organizations/babywatch,,37621
Tuesday Capital,bellabeat,https://api.crunchbase.com/v3.1/organizations/bellabeat,,6888
Tuesday Capital,layer,https://api.crunchbase.com/v3.1/organizations/layer,,4944
Tuesday Capital,other-machine,https://api.crunchbase.com/v3.1/organizations/other-machine,,25847
Tuesday Capital,3gear-systems,https://api.crunchbase.com/v3.1/organizations/3gear-systems,,45409
Tuesday Capital,alignable,https://api.crunchbase.com/v3.1/organizations/alignable,,5337
Tuesday Capital,nitrous-io,https://api.crunchbase.com/v3.1/organizations/nitrous-io,,32399
Tuesday Capital,cruise,https://api.crunchbase.com/v3.1/organizations/cruise,,152
Tuesday Capital,digitalocean,https://api.crunchbase.com/v3.1/organizations/digitalocean,,222
Tuesday Capital,bluefly,https://api.crunchbase.com/v3.1/organizations/bluefly,,21362
Tuesday Capital,mindie,https://api.crunchbase.com/v3.1/organizations/mindie,,33181
Tuesday Capital,highlight,https://api.crunchbase.com/v3.1/organizations/highlight,,8792
Tuesday Capital,hey,https://api.crunchbase.com/v3.1/organizations/hey,,23197
Tuesday Capital,krablr-2,https://api.crunchbase.com/v3.1/organizations/krablr-2,,71629
Tuesday Capital,redfin,https://api.crunchbase.com/v3.1/organizations/redfin,,227
Tuesday Capital,foundationdb,https://api.crunchbase.com/v3.1/organizations/foundationdb,,63883
Tuesday Capital,betable,https://api.crunchbase.com/v3.1/organizations/betable,,18291
Tuesday Capital,airbnb,https://api.crunchbase.com/v3.1/organizations/airbnb,,243
Tuesday Capital,lark,https://api.crunchbase.com/v3.1/organizations/lark,,1929
Tuesday Capital,swiftype,https://api.crunchbase.com/v3.1/organizations/swiftype,,8322
Tuesday Capital,studio,https://api.crunchbase.com/v3.1/organizations/studio,,31760
Tuesday Capital,branding-brand,https://api.crunchbase.com/v3.1/organizations/branding-brand,,12391
Tuesday Capital,snapguide,https://api.crunchbase.com/v3.1/organizations/snapguide,,26283
Tuesday Capital,urx,https://api.crunchbase.com/v3.1/organizations/urx,,21413
Tuesday Capital,trueanthem,https://api.crunchbase.com/v3.1/organizations/trueanthem,,20830
Tuesday Capital,directly,https://api.crunchbase.com/v3.1/organizations/directly,,3890
Tuesday Capital,koa-la,https://api.crunchbase.com/v3.1/organizations/koa-la,,54335
Tuesday Capital,rover-com,https://api.crunchbase.com/v3.1/organizations/rover-com,,1232
Tuesday Capital,vamo,https://api.crunchbase.com/v3.1/organizations/vamo,,27331
Tuesday Capital,backops,https://api.crunchbase.com/v3.1/organizations/backops,,28332
Tuesday Capital,easypost,https://api.crunchbase.com/v3.1/organizations/easypost,,3377
Tuesday Capital,tbh,https://api.crunchbase.com/v3.1/organizations/tbh,,18710
Tuesday Capital,pandodaily,https://api.crunchbase.com/v3.1/organizations/pandodaily,,25546
Tuesday Capital,luvocracy,https://api.crunchbase.com/v3.1/organizations/luvocracy,,31010
Tuesday Capital,mesosphere,https://api.crunchbase.com/v3.1/organizations/mesosphere,,644
Tuesday Capital,imgix,https://api.crunchbase.com/v3.1/organizations/imgix,,10188
Tuesday Capital,copper-inc,https://api.crunchbase.com/v3.1/organizations/copper-inc,,1650
Tuesday Capital,crowdtilt,https://api.crunchbase.com/v3.1/organizations/crowdtilt,,5957
Tuesday Capital,plain-vanilla,https://api.crunchbase.com/v3.1/organizations/plain-vanilla,,15839
Tuesday Capital,glider,https://api.crunchbase.com/v3.1/organizations/glider,,39552
Tuesday Capital,vayable,https://api.crunchbase.com/v3.1/organizations/vayable,,13166
Tuesday Capital,retrace,https://api.crunchbase.com/v3.1/organizations/retrace,,61671
Tuesday Capital,cumulogic,https://api.crunchbase.com/v3.1/organizations/cumulogic,,68470
Tuesday Capital,mydocket,https://api.crunchbase.com/v3.1/organizations/mydocket,,57795
Tuesday Capital,rabbit,https://api.crunchbase.com/v3.1/organizations/rabbit,,65735
Tuesday Capital,newhive,https://api.crunchbase.com/v3.1/organizations/newhive,,140659
Tuesday Capital,svbtle,https://api.crunchbase.com/v3.1/organizations/svbtle,,131915
Tuesday Capital,red-tricycle,https://api.crunchbase.com/v3.1/organizations/red-tricycle,,26195
Tuesday Capital,smartthings,https://api.crunchbase.com/v3.1/organizations/smartthings,,2162
Tuesday Capital,haulerdeals,https://api.crunchbase.com/v3.1/organizations/haulerdeals,,50539
Tuesday Capital,blackjet,https://api.crunchbase.com/v3.1/organizations/blackjet,,21124
Tuesday Capital,streak,https://api.crunchbase.com/v3.1/organizations/streak,,9993
Tuesday Capital,zumper,https://api.crunchbase.com/v3.1/organizations/zumper,,676
Tuesday Capital,square,https://api.crunchbase.com/v3.1/organizations/square,,36
Tuesday Capital,twice,https://api.crunchbase.com/v3.1/organizations/twice,,6126
Tuesday Capital,orderahead,https://api.crunchbase.com/v3.1/organizations/orderahead,,8613
Tuesday Capital,parstream,https://api.crunchbase.com/v3.1/organizations/parstream,,21483
Tuesday Capital,upstart,https://api.crunchbase.com/v3.1/organizations/upstart,,9918
Tuesday Capital,artillery,https://api.crunchbase.com/v3.1/organizations/artillery,,34702
Tuesday Capital,stamped,https://api.crunchbase.com/v3.1/organizations/stamped,,27838
Tuesday Capital,openbucks,https://api.crunchbase.com/v3.1/organizations/openbucks,,25052
Tuesday Capital,byliner,https://api.crunchbase.com/v3.1/organizations/byliner,,42271
Tuesday Capital,bitcasa,https://api.crunchbase.com/v3.1/organizations/bitcasa,,22783
Tuesday Capital,yext,https://api.crunchbase.com/v3.1/organizations/yext,,405
Tuesday Capital,creativemarket,https://api.crunchbase.com/v3.1/organizations/creativemarket,,7354
Tuesday Capital,shoes-of-prey,https://api.crunchbase.com/v3.1/organizations/shoes-of-prey,,8152
Tuesday Capital,exec,https://api.crunchbase.com/v3.1/organizations/exec,,21079
Tuesday Capital,gumroad,https://api.crunchbase.com/v3.1/organizations/gumroad,,7285
Tuesday Capital,priceonomics,https://api.crunchbase.com/v3.1/organizations/priceonomics,,41079
Tuesday Capital,couple,https://api.crunchbase.com/v3.1/organizations/couple,,15794
Tuesday Capital,socialcam,https://api.crunchbase.com/v3.1/organizations/socialcam,,95315
Tuesday Capital,neighborland,https://api.crunchbase.com/v3.1/organizations/neighborland,,99646
Tuesday Capital,skybox-imaging,https://api.crunchbase.com/v3.1/organizations/skybox-imaging,,6922
Tuesday Capital,voxer-llc,https://api.crunchbase.com/v3.1/organizations/voxer-llc,,11596
Tuesday Capital,thecomplete-me,https://api.crunchbase.com/v3.1/organizations/thecomplete-me,,60391
Tuesday Capital,kidaptive,https://api.crunchbase.com/v3.1/organizations/kidaptive,,7692
Tuesday Capital,paidpiper,https://api.crunchbase.com/v3.1/organizations/paidpiper,,70033
Tuesday Capital,yammer,https://api.crunchbase.com/v3.1/organizations/yammer,,3049
Tuesday Capital,955-dreams,https://api.crunchbase.com/v3.1/organizations/955-dreams,,29432
Tuesday Capital,klout,https://api.crunchbase.com/v3.1/organizations/klout,,11623
