Organization Name,number of unique orgs,number of investments
benchmark,280,578
lightspeed-venture-partners,397,728
khosla-ventures,368,669
greylock,392,677
techstars,1471,1704
brand-foundry-ventures,34,44
draper-fisher-jurvetson,366,738
wi-harper-group,102,144
blackrock,46,56
founders-fund,317,470
riverpark-ventures,60,88
great-oaks-venture-capital,258,358
institutional-venture-partners,178,276
horizon-technology-finance,44,45
mohr-davidow-ventures,137,292
sigma-partners,121,333
iselectfund,27,41
crypto-currency-partners,62,78
ignition-partners,154,288
dn-capital,107,189
danhua-capital,126,153
lumia-capital,35,44
us-venture-partners,237,486
firstmark-capital,110,228
s3-ventures,31,58
march-capital-partners,40,59
amazon,61,83
vivo-capital,67,100
urban-us,42,65
cmea-ventures,39,62
firstmile-ventures,31,37
union-square-ventures,120,272
techcolumbus-2,137,205
techammer,71,75
sands-capital-ventures,40,58
math-venture-partners,28,38
microsoft,116,127
prelude-ventures-llc,26,47
white-star-capital,49,77
stanford-university,74,81
zpark-venture,73,80
gsv-capital,37,50
cue-ball,29,42
jumpstartinc,94,133
lead-edge-capital,42,55
betaworks,138,169
steamboat-ventures,55,108
google,79,93
pejman-mar-ventures,66,98
artis,42,63
sandbox-industries,38,58
blueprint-health-accelerator,72,81
first-analysis,52,68
arthur-ventures-llc,26,44
commerce-ventures,46,78
galvanize,51,70
abs-capital-partners,63,72
sixthirty,46,56
alchemist-accelerator,161,178
cox-enterprises,25,28
astia-angels,37,50
maiden-lane-ventures,26,31
female-founders-fund,33,50
rubicon-venture-capital,34,41
caffeinated-capital,38,64
viking-global-investors,37,47
queensbridge-venture-partners,115,154
visionnaire-ventures,43,57
dorm-room-fund,128,135
deerfield,70,79
fintech-collective,25,43
corazon-capital,38,53
1776-ventures,33,51
mit-global-founders-skills-accelerator,100,103
google-capital,36,60
sprint-accelerator,28,28
vayner-rse,65,71
wellington-management,87,97
fuel-capital,61,79
surge-accelerator,36,41
r-ga-connected-devices-accelerator-2013,30,30
aspect-ventures,64,91
haystack,74,79
cascade-angels-fund,27,32
tumml,28,28
accelfoods,45,84
jp-morgan-chase,38,40
skydeck-berkeley,136,137
trinity-capital-investment,62,72
montage-ventures,31,47
centerpoint-venture-partners,29,54
boxgroup,238,321
altair,171,223
645-angels,30,40
burch-creative-capital,31,35
emerging-capital-partners-ecp,32,32
texas-venture-labs,82,83
innovation-fund,37,39
green-park-golf-ventures,53,76
pantera-capital,63,75
the-capital-royalty-fund,41,49
confluence-capital,41,44
michael-susan-dell-foundation,28,37
amgen-ventures,47,76
ecor1-capital,33,39
mizuho-capital,56,61
conversion-capital-llc,26,37
future-perfect-ventures,28,35
keiretsu-forum-northwest,107,107
zetta-venture-partners,30,49
rock-springs-capital,54,57
american-express-ventures,47,56
liveoak-venture-partners,27,42
tylt-lab,31,40
9mile-labs,42,42
social-capital,240,352
fundersguild,34,43
sparklabs-global-ventures,60,70
kec-ventures,39,63
baird-capital,68,120
wasabi-ventures,48,50
basset-investment-group,28,40
alexandria-venture,30,35
golden-angels-investors,25,38
ben-franklin-technology-partners-of-central-and-northern-pennsylvania,29,31
launch-tennessee,38,61
houston-angel-network,112,179
susa-ventures,78,106
canvas-venture-fund,26,41
william-morris-endeavor,27,27
lakewest-venture-partners,26,39
coatue-management,55,71
maxfield-capital,33,40
china-rock-capital,107,126
us-department-of-education,27,28
energy-excelerator,51,56
svg-ventures,29,29
jump-capital,56,85
raine-ventures,35,57
flint-capital,37,50
drummond-road-capital,33,43
learnlaunchx,32,32
innova-memphis,113,246
gotham-ventures,33,58
synbio-axlr8r,109,161
irishangels,43,69
streamlined-ventures,115,154
drive-capital,29,41
emerson-collective,25,28
fortress-investment-group,28,28
manatt-venture-fund,61,67
sherpa-ventures,106,141
invest-nebraska,57,69
seven-peaks-ventures,27,47
homebrew-ventures,67,89
i2bf-global-ventures,31,45
highway1,74,79
ame-cloud-ventures,143,199
knight-foundation,86,95
afsquare,43,44
chicago-ventures,74,123
susquehanna-international-group-llp,25,31
scout-ventures,57,88
soundboard-angel-fund,29,34
gener8tor,73,102
comerica-incorporated,66,68
blackstone,77,90
missouri-technology-corporation,43,54
bloomberg-beta,107,156
us-department-of-energy,103,117
acceleprise-ventures,114,149
caa-ventures,44,56
better-ventures,28,43
base-vc,55,66
blue-startups,64,78
social-starts,257,316
venture-lab,38,48
bowery-capital,35,57
morgan-stanley-dean-witter,63,67
tenoneten-ventures,51,64
microsoft-ventures,226,258
interplay-ventures,33,33
atdc,44,146
tdf-ventures,46,78
formation8,95,143
rusnano,77,87
blue-cloud-ventures,28,30
kayne-partners,33,35
initialized-capital,95,117
village-capital,44,48
rough-draft-ventures,70,73
laconia-ventures,28,37
two-sigma-ventures,53,96
rho-ventures,61,102
rising-tide-fund,41,48
bolt-io,59,76
institute-for-the-commercialization-of-public-research,71,110
rogue-venture-partners,29,35
scrum-ventures,40,53
dragoneer-investment-group,37,42
toba-capital,48,79
amplify-partners,44,81
the-startup-factory,31,34
iconiq-capital,60,89
delta-v-capital,34,34
middleland-capital,41,65
the-iron-yard,43,46
rockies-venture-club,35,55
jumpstart-ventures,33,49
red-sea-venture-partners,40,51
liberty-global-ventures,31,45
biotechnology-value-fund,25,29
camp-one-ventures,43,60
sharespost-investment-management,69,73
karlin-ventures,34,47
canyon-creek-capital,38,43
recruit-strategic-partners,45,47
bee-partners,36,57
rethink-education,49,71
silicon-badia,57,67
ribbit-capital,40,64
signal-peak-ventures,28,38
massventures,33,53
rothenberg-ventures,86,104
casdin-capital,37,43
winklevoss-capital,72,81
cougar-capital,32,39
strong-ventures,62,96
vegastechfund,130,179
cherrystone-angel-group,27,73
fundersclub,313,396
promus-ventures,63,97
eso-fund,40,46
designer-fund,26,34
fledge,34,34
signia-venture-partners,62,83
cowboy-ventures,55,99
valar-ventures,36,70
double-m-partners,48,68
graph-ventures,53,53
boostfunder,154,170
valor-capital,42,64
piper-jaffray,30,42
data-collective,247,348
asset-management-ventures,72,134
norwest-equity-partners,102,109
marker,48,86
the-impact-engine,47,56
capital-innovators,82,93
bregal-sagemount,38,38
seedinvest,140,160
redmile-group,58,71
startfast-venture-accelerator,33,37
expansion-venture-capital,75,105
mayoclinic,28,35
wefunder,32,34
red-swan,67,78
chattanooga-renaissance-fund,38,46
innospring,38,43
slow-ventures,298,384
breyer-capital,38,53
mit-media-lab,145,145
cultivation-capital,58,112
learncapital,71,98
brooklyn-bridge-ventures,40,45
technexus,45,45
core-innovation-capital,29,38
foresite-capital,47,60
hyde-park-venture-partners,77,123
neu-venture-capital,37,59
mb-venture-partners,46,85
advancit-capital,79,114
resolute-vc,56,92
upwest-labs,69,84
unitus-ventures,33,48
bp-ventures,33,36
grape-arbor-vc,54,57
revel-partners,27,36
start-engine,244,264
healthbox,88,95
merck-global-health-innovation-fund,30,50
amplify-la,68,123
blu-venture-investors,38,58
science,33,40
dingman-center-angels,75,112
acequia-capital,109,131
kortschak-investments-l-p,37,49
k5launch,42,46
muckercapital,78,103
msd-capital,29,35
ben-franklin-technology-partners,25,27
sorenson-capital,36,38
serent-capital,31,33
kbs-p-ventures,38,48
healthtech-capital,31,44
sk-ventures,44,53
the-brandery,55,76
lovell-minnick-partners,32,37
top-tier-capital-partners,26,32
boston-seed-capital,39,58
bmw-ventures,37,54
elevate-ventures,50,61
level-equity,33,38
bb-t-capital-partners,34,34
general-motors-ventures,33,84
portland-seed-fund,83,153
forerunner-ventures,73,136
a-grade-investments,44,48
fortify-ventures,32,40
draper-nexus-ventures,74,105
serra-ventures,74,184
citi-ventures,66,80
webb-investment-network,82,118
startup-health,269,281
ttv-capital,35,58
fulcrum-equity-partners,39,44
kkr,132,155
quotidian-ventures,59,78
romulus-capital,28,48
takeda-ventures,27,37
newme-accelerator,27,27
national-institutes-of-health,258,320
rock-health,84,97
rock-health,84,97
137-ventures,25,26
bizdom-u,26,29
tsvcap,151,177
imagine-k12,48,54
harmony-partners,46,60
collaborative-fund,104,146
er-accelerator,183,207
osage-university-partners,87,150
launchhouse,40,40
tekton-ventures,55,66
biogenerator,36,51
morado-ventures-partners,102,188
start-fund,58,61
main-street-capital,71,73
arc-angel-fund,27,32
betaspring,74,74
citrix-startup-accelerator,32,42
angellist,61,66
pamlico-capital,40,44
bullpen-capital,67,94
tpg-biotech,31,55
u-s-department-of-agriculture,28,34
u-s-department-of-defense,28,28
dundee-venture-capital,38,55
detroit-venture-partners,32,58
pivotnorth-capital,25,46
capricorn-investment-group,33,54
buckhead-investment-partners,31,50
correlation-ventures,161,240
llr-partners,62,65
cervin-ventures,28,41
sandler-capital,31,34
jpmorgan-chase-co,107,121
plug-and-play-ventures,746,893
fca-venture-partners,33,48
brentwood-venture-capital,25,41
j-p-morgan-partners,96,127
high-line-venture-partners,61,71
thrive-capital,110,189
boldstart-ventures,55,93
runa-capital,67,91
500-startups,1644,1993
north-coast-angel-fund,45,61
nashville-capital-network-investment-arm,29,42
mountain-group-capital,27,50
verizon-ventures,69,102
trisiras-group,89,98
eniac-ventures,134,170
innovation-endeavors,99,150
greenspring-associates,117,144
perceptive-advisors,73,84
st-paul-venture-capital,65,105
nextview-ventures,76,125
fontinalis-partners,44,65
lighter-capital,203,317
saic-venture-capital,30,34
ge-ventures,107,167
angelpad,112,171
masschallenge,1349,1362
jumpstart-foundry,66,68
soros-fund-management,26,34
bill-melinda-gates-foundation,87,107
ff-venture-capital,119,331
ra-capital-management,94,112
nc-idea,38,39
kickstart-seed-fund,78,115
invesco-perpetual,55,80
draper-associates-2,170,227
social-leverage,71,92
tomorrow-ventures,53,74
genesis-capital,31,37
four-rivers-group,25,33
golden-seeds,59,75
bridge-bank,40,40
floodgate,200,290
sosv,860,1441
ann-arbor-spark,83,93
excelerate-labs,78,80
osage-partners,41,70
new-schools-venture-fund,55,66
lightbank,98,144
lerer-ventures,280,423
dfj-growth,55,80
boomstartup,101,102
tech-wildcatters,27,31
plymouth-venture-partners,27,49
wellington-financial,41,42
inter-atlantic-group,37,42
right-side-capital-management,788,835
van-wagoner-capital-management,28,41
ulu-ventures,96,111
sopris-capital,27,27
accel-kkr,54,56
kapor-capital,143,195
ia-ventures,57,113
nct-ventures-funds-i,39,44
central-valley-fund,27,27
volition-capital,25,38
viventures,28,32
bain-capital,73,80
ludlow-ventures-llc,78,98
maine-angels,51,109
tiger-global,203,346
tailwind-capital,33,33
moduslink-global-solutions,33,43
celgene,45,58
bullet-time-ventures,181,238
hyde-park-angels,58,98
wilson-sonsini-goodrich-rosati,70,78
wisconsin-investment-partners,47,91
techoperators,26,45
second-century-ventures,39,41
puget-sound-venture-club,49,49
ascension-ventures,54,69
thomas-mcnerney-partners,27,46
denovo-ventures,37,93
founder-collective,251,353
almaz-capital,39,57
safeguard-scientifics,85,127
birchmere-ventures,75,112
cincytech,57,80
medtronic,42,63
venture-investors,49,86
madison-dearborn-partners,25,28
vast-ventures,32,34
general-atlantic,174,201
boston-scientific,28,38
oxford-finance-corporation,84,92
longitude-capital,46,69
alphalab,99,105
k9-ventures,29,48
javelin-venture-partners,66,107
rand-capital,26,42
robin-hood-ventures,36,52
the-dow-chemical-company,32,40
riverwood-capital,33,44
investmichigan-credit-suisse,42,43
silicon-valley-bank,490,562
qed-investors,80,124
transmedia-capital,55,79
maryland-technology-development-corporation,76,82
ben-franklin-technology-partners-of-southeastern-pennsylvania,137,165
susquehanna-growth-equity,48,55
elevar-equity,25,43
rivervest,36,54
sv-angel,744,882
rbc-capital-markets,31,37
andreessen-horowitz,421,705
greatpoint-ventures,26,37
life-science-angels,25,32
nyserda,575,1001
third-rock-ventures,54,98
montreaux-equity-partners,34,64
johnson-johnson-development-corporation,90,150
j-p-morgan-securities-inc,44,54
city-light-capital,34,46
great-hill-partners,33,39
alliance-technology-ventures,25,44
prolog-ventures,31,67
riverside,42,44
frontier-capital,39,43
acumen-fund,26,29
affinity-capital-management,25,39
omega-funds,39,57
the-column-group,27,61
aberdare-ventures,36,70
quaker-bioventures,34,54
broadview-ventures,36,43
deerfield-management,43,46
healthcare-ventures,46,87
sr-one,76,136
sante-ventures,31,50
lilly-ventures,32,61
bioadvance,82,179
pfizer-venture-investments,63,87
freestyle-capital,78,114
pittsburgh-life-sciences-greenhouse,31,53
sjf-ventures,38,55
cross-creek-capital,54,66
aisling-capital,52,87
arboretum-ventures,41,71
baroda-ventures,36,50
nth-power,30,62
wells-fargo-bank,52,58
silver-lake-partners,49,55
adage-capital-management,34,39
ff-angel-llc,65,79
pappas-ventures,33,46
alexandria-real-estate-equities,33,42
hatteras-venture-partners,40,68
forward-ventures,26,54
mpm-capital,106,203
sanderling-ventures,35,82
ftv-capital,56,66
ws-investments,44,48
international-finance-corporation,136,166
texas-pacific-group,96,117
ssm-partners,33,45
tenaya-capital,96,158
kaiser-permanente-ventures,49,73
medimmune-ventures,25,45
essex-woodlands-health-ventures,47,80
stage-1-ventures,29,44
sv-life-sciences,91,209
versant-ventures,142,291
orbimed-advisors,204,328
xseed-capital,43,74
bay-city-capital,52,96
clarus-ventures,45,86
burrill-co,54,85
proquest-investments,32,52
the-vertical-group,25,51
boston-millennia-partners,51,87
google-ventures,425,656
capital-factory,111,131
ohio-techangels-fund,28,34
river-cities-capital,65,87
delphi-ventures,68,144
5am-ventures,64,132
new-leaf-venture-partners,75,149
oxford-bioscience-partners,59,108
new-jersey-economic-development-authority,52,58
merrill-lynch,72,77
hlm-venture-partners,51,91
bluecross-blueshield-venture-partners,40,63
zelkova-ventures,55,69
peterson-ventures,57,87
lucent-venture-partners,36,51
alta-partners,107,219
solidus-company,54,60
needham-capital-partners,26,35
the-sprout-group,74,119
camden-partners,33,43
chevron-technology-ventures,44,67
glynn-capital-management,47,63
j-w-seligman,66,74
new-venture-partners,35,58
deep-fork-capital-2,34,46
mastercard,41,48
prospect-venture-partners,41,77
m-c-partners,25,32
the-westly-group,43,75
arch-venture-partners,152,305
citrix-systems,27,32
brook-venture-partners,49,59
visa,42,44
thomas-weisel-partners-llc,47,50
braemar-energy-ventures,39,93
cnf-investments,30,44
nif-ventures,29,41
noro-moseley-partners,72,115
lux-capital,101,207
maryland-venture-fund,59,80
inventus-capital-partners,43,74
questmark,47,81
idg-ventures-usa,107,142
enertech-capital,39,66
new-science-ventures,41,59
domain-associates,117,244
frazier-healthcare-ventures,83,153
invus,57,79
technology-partners,37,71
advent-international,88,106
pelion-venture-partners,85,141
xg-ventures,72,94
kinetic-ventures,32,59
psilos-group,25,37
metamorphic-ventures-llc,114,161
seraph-group,33,41
startup-capital-ventures,28,45
imlay-investments,28,45
long-river-ventures,27,42
miramar-venture-partners,44,65
freshtracks-capital,39,57
egan-managed-capital,27,51
triangle-peak-partners,40,59
oregon-angel-fund,40,48
lighthouse-capital-partners,39,47
launchcapital,192,227
applied-ventures,39,59
lowercase-capital,128,176
horizon-ventures,30,44
rockport-capital-partners,43,100
trilogy-equity-partnership,49,70
dbl-investors,27,49
pasadena-angels,35,40
third-point-ventures,42,56
harrison-metal-capital,105,196
ngen-ventures,33,60
bootstraplabs,32,42
cit-gap-funds,130,141
peninsula-equity-partners,31,43
clayton-associates,27,45
rose-tech-ventures,29,40
american-capital,26,31
apex-venture-partners,49,83
dreamit-ventures,238,265
cross-atlantic-capital-partners,30,47
silverton-partners,66,124
ovp-venture-partners,54,113
juniper-networks,33,40
crosscut-ventures,71,97
grotech-ventures,92,152
saas-capital,29,30
access-venture-partners,47,77
agility-capital,93,94
tl-ventures,69,111
hearst-interactive-media,73,112
newspring-capital,69,83
sand-hill-angels,109,174
rho-capital-ventures,68,97
accelerator-ventures,44,62
wakefield-group,27,33
bertelsmann-digital-media-investments,74,116
seventysix-capital,28,31
draper-triangle-ventures,35,59
mk-capital,38,62
contour-ventures,46,84
fidelity-investments,86,99
industry-ventures,70,88
nyc-seed,32,39
cit-group,37,39
bowman-capital,43,49
bank-of-america,67,81
rincon-venture-partners,47,78
three-arch-partners,61,115
cardinal-partners,28,52
skyline-ventures,36,67
nokia-growth-partners,92,132
blumberg-capital,97,164
telesoft-partners,37,86
tallwood-venture-capital,27,53
summit-partners,298,327
globespan-capital-partners,85,174
north-hill-ventures,26,45
starvest-partners,40,79
franklin-templeton-investments,39,41
motorola-solutions-venture-capital,111,158
triplepoint-capital,71,77
