Organization Name,number of unique orgs,number of investments
highland-capital-partners,213,417
alsop-louie-partners,54,73
opus-capital,43,83
clearstone-venture-partners,54,104
sherpalo-ventures,48,66
crosslink-capital,199,338
atlas-venture,266,496
catamount-ventures,32,66
bluerun-ventures,111,190
maveron,148,230
baseline-ventures,102,176
pinnacle-ventures,52,77
sutter-hill-ventures,134,277
madrona-venture-group,163,321
saints-capital,48,65
norwest-venture-partners,307,625
columbia-capital,91,174
idea-fund-partners,29,47
waldenvc,53,79
labrador-ventures,58,111
trident-capital,116,216
anthem-venture-partners,45,73
insight-partners,258,356
